"","hora","glucemia"
"1","00:02:38",97
"2","00:07:38",99
"3","00:12:38",101
"4","00:17:38",102
"5","00:22:38",105
"6","00:27:38",108
"7","00:32:38",112
"8","00:37:38",116
"9","00:42:38",119
"10","00:47:38",119
"11","00:52:38",116
"12","00:57:38",111
"13","01:02:38",106
"14","01:07:38",101
"15","01:12:38",98
"16","01:17:38",96
"17","01:22:38",95
"18","01:27:38",96
"19","01:32:38",97
"20","01:37:38",100
"21","01:42:38",102
"22","01:47:38",105
"23","01:52:38",108
"24","01:57:38",111
"25","02:02:38",113
"26","02:07:38",116
"27","02:12:38",118
"28","02:17:38",118
"29","02:22:38",118
"30","02:27:38",117
"31","02:32:38",114
"32","02:37:38",111
"33","02:42:38",107
"34","02:47:38",104
"35","02:52:38",102
"36","02:57:38",101
"37","03:02:38",100
"38","03:07:38",100
"39","03:12:38",100
"40","03:17:38",100
"41","03:22:38",99
"42","03:27:38",98
"43","03:32:38",97
"44","03:37:38",95
"45","03:42:38",94
"46","03:47:38",93
"47","03:52:38",92
"48","03:57:38",92
"49","04:02:38",91
"50","04:07:38",90
"51","04:12:38",89
"52","04:17:38",88
"53","04:22:38",86
"54","04:27:38",85
"55","04:32:38",84
"56","04:37:38",83
"57","04:42:38",83
"58","04:47:38",83
"59","04:52:38",83
"60","04:57:38",83
"61","05:02:38",83
"62","05:07:38",83
"63","05:12:38",83
"64","05:17:38",83
"65","05:22:38",84
"66","05:27:38",84
"67","05:32:38",85
"68","05:37:38",85
"69","05:42:38",86
"70","05:47:38",85
"71","05:52:38",85
"72","05:57:38",85
"73","06:02:38",85
"74","06:07:38",86
"75","06:12:38",87
"76","06:17:38",88
"77","06:22:38",89
"78","06:27:38",90
"79","06:32:38",91
"80","06:37:38",92
"81","06:42:38",92
"82","06:47:38",91
"83","06:52:38",91
"84","06:57:38",90
"85","07:02:38",89
"86","07:07:38",89
"87","07:12:38",90
"88","07:17:38",91
"89","07:22:38",92
"90","07:27:38",93
"91","07:32:38",94
"92","07:37:38",96
"93","07:42:38",97
"94","07:47:38",100
"95","07:52:38",104
"96","07:57:38",110
"97","08:02:38",117
"98","08:07:38",124
"99","08:12:38",131
"100","08:17:38",137
"101","08:22:38",141
"102","08:27:38",144
"103","08:32:38",144
"104","08:37:38",141
"105","08:42:38",137
"106","08:47:38",131
"107","08:52:38",124
"108","08:57:38",117
"109","09:02:38",111
"110","09:07:38",106
"111","09:12:38",102
"112","09:17:38",99
"113","09:22:38",98
"114","09:27:38",98
"115","09:32:38",99
"116","09:37:38",101
"117","09:42:38",104
"118","09:47:38",107
"119","09:52:38",110
"120","09:57:38",113
"121","10:02:38",115
"122","10:07:38",118
"123","10:12:38",120
"124","10:17:38",122
"125","10:22:38",122
"126","10:27:38",122
"127","10:32:38",121
"128","10:37:38",120
"129","10:42:38",119
"130","10:47:38",118
"131","10:52:38",117
"132","10:57:38",115
"133","11:02:38",114
"134","11:07:38",112
"135","11:12:38",111
"136","11:17:38",110
"137","11:22:38",109
"138","11:27:38",109
"139","11:32:38",109
"140","11:37:38",109
"141","11:42:38",110
"142","11:47:38",112
"143","11:52:38",116
"144","11:57:38",121
"145","12:02:38",127
"146","12:07:38",131
"147","12:12:38",133
"148","12:17:38",132
"149","12:22:38",129
"150","12:27:38",125
"151","12:32:38",120
"152","12:37:38",116
"153","12:42:38",113
"154","12:47:38",111
"155","12:52:38",110
"156","12:57:38",110
"157","13:02:38",109
"158","13:07:38",108
"159","13:12:38",107
"160","13:17:38",106
"161","13:22:38",105
"162","13:27:38",104
"163","13:32:38",102
"164","13:37:38",101
"165","13:42:38",101
"166","13:47:38",101
"167","13:52:38",101
"168","13:57:38",101
"169","14:02:38",101
"170","14:07:38",100
"171","14:12:38",98
"172","14:17:38",96
"173","14:22:38",94
"174","14:27:38",93
"175","14:32:38",92
"176","14:37:38",91
"177","14:42:38",91
"178","14:47:38",90
"179","14:52:38",90
"180","14:57:38",89
"181","15:02:38",89
"182","15:07:38",89
"183","15:12:38",90
"184","15:17:38",92
"185","15:22:38",95
"186","15:27:38",98
"187","15:32:38",102
"188","15:37:38",105
"189","15:42:38",107
"190","15:47:38",108
"191","15:52:38",108
"192","15:57:38",107
"193","16:02:38",106
"194","16:07:38",105
